feature_id,cf_class,cf_superclass,cf_subclass,molecular_family
11274,Prenol_lipids,Lipids_and_lipid-like_molecules,Triterpenoids,mf_50
3527,Carboxylic_acids_and_derivatives,Organoheterocyclic_compounds,Amino_acids-_peptides-_and_analogues,mf_96
11141,Carboxylic_acids_and_derivatives,Organic_acids_and_derivatives,Amino_acids-_peptides-_and_analogues,mf_215
14150,no_matches,no_matches,no_matches,mf_singleton
16030,Fatty_Acyls,Lipids_and_lipid-like_molecules,Lineolic_acids_and_derivatives,mf_20
10417,no_matches,no_matches,no_matches,mf_singleton
14400,Prenol_lipids,Lipids_and_lipid-like_molecules,Sesquiterpenoids,mf_54
6662,Prenol_lipids,Lipids_and_lipid-like_molecules,Sesquiterpenoids,mf_28
16726,no_matches,no_matches,no_matches,mf_singleton
18451,Flavonoids,Phenylpropanoids_and_polyketides,Flavonoid_glycosides,mf_52
12078,no_matches,no_matches,no_matches,mf_singleton
15943,Glycerophospholipids,Lipids_and_lipid-like_molecules,Glycerophosphocholines,mf_442
16374,no_matches,no_matches,no_matches,mf_singleton
9916,Fatty_Acyls,Lipids_and_lipid-like_molecules,Fatty_acids_and_conjugates,mf_56
12546,Glycerophospholipids,Lipids_and_lipid-like_molecules,Glycerophosphoethanolamines,mf_2
18109,Glycerophospholipids,Lipids_and_lipid-like_molecules,Glycerophosphoethanolamines,mf_2
11639,Macrolides_and_analogues,Phenylpropanoids_and_polyketides,not_available,mf_singleton
765,Carboxylic_acids_and_derivatives,Organic_acids_and_derivatives,Amino_acids-_peptides-_and_analogues,mf_154
243,no_matches,no_matches,no_matches,mf_singleton
13461,Prenol_lipids,Lipids_and_lipid-like_molecules,Monoterpenoids,mf_singleton
15554,Fatty_Acyls,Lipids_and_lipid-like_molecules,Hopanoids,mf_340
5992,Prenol_lipids,Lipids_and_lipid-like_molecules,Monoterpenoids,mf_111
2056,Organonitrogen_compounds,Organic_nitrogen_compounds,Quaternary_ammonium_salts,mf_532
6361,Fatty_Acyls,Lipids_and_lipid-like_molecules,Fatty_acid_esters,mf_155
10812,no_matches,no_matches,no_matches,mf_singleton
16466,Glycerophospholipids,Lipids_and_lipid-like_molecules,Glycerophosphoethanolamines,mf_2
12760,Fatty_Acyls,Lipids_and_lipid-like_molecules,Fatty_acids_and_conjugates,mf_56
17177,Steroids_and_steroid_derivatives,Lipids_and_lipid-like_molecules,Stigmastanes_and_derivatives,mf_247
614,Carboxylic_acids_and_derivatives,Organic_acids_and_derivatives,Amino_acids-_peptides-_and_analogues,mf_261
9918,Organonitrogen_compounds,Organic_nitrogen_compounds,Amines,mf_115
3916,Prenol_lipids,Lipids_and_lipid-like_molecules,Sesquiterpenoids,mf_54
8268,Prenol_lipids,Lipids_and_lipid-like_molecules,Sesquiterpenoids,mf_54
6884,no_matches,no_matches,no_matches,mf_singleton
17255,Prenol_lipids,Lipids_and_lipid-like_molecules,Triterpenoids,mf_50
16637,Organonitrogen_compounds,Organic_nitrogen_compounds,Amines,mf_115
5561,Prenol_lipids,Lipids_and_lipid-like_molecules,Monoterpenoids,mf_111
12536,Carboxylic_acids_and_derivatives,Organoheterocyclic_compounds,not_available,mf_193
10306,Azoles,Organoheterocyclic_compounds,Oxadiazoles,mf_527
4543,Fatty_Acyls,Organoheterocyclic_compounds,Furanones,mf_248
14827,Prenol_lipids,Lipids_and_lipid-like_molecules,Sesquiterpenoids,mf_54
5925,Organooxygen_compounds,Benzenoids,Carbonyl_compounds,mf_105
15846,no_matches,no_matches,no_matches,mf_singleton
2019,Benzene_and_substituted_derivatives,Benzenoids,Phenoxyacetic_acid_derivatives,mf_122
15035,Fatty_Acyls,Lipids_and_lipid-like_molecules,Lineolic_acids_and_derivatives,mf_20
18481,Fatty_Acyls,Organoheterocyclic_compounds,not_available,mf_348
2922,Indoles_and_derivatives,Organoheterocyclic_compounds,not_available,mf_225
12681,Prenol_lipids,Lipids_and_lipid-like_molecules,not_available,mf_31
2372,Organooxygen_compounds,Organic_oxygen_compounds,Carbonyl_compounds,mf_542
11784,no_matches,no_matches,no_matches,mf_singleton
13982,Prenol_lipids,Lipids_and_lipid-like_molecules,Monoterpenoids,mf_171
16348,no_matches,no_matches,no_matches,mf_singleton
17855,Fatty_Acyls,Lipids_and_lipid-like_molecules,Lineolic_acids_and_derivatives,mf_20
15940,Prenol_lipids,Lipids_and_lipid-like_molecules,Sesquiterpenoids,mf_54
12433,Prenol_lipids,Lipids_and_lipid-like_molecules,not_available,mf_31
15802,Prenol_lipids,Lipids_and_lipid-like_molecules,not_available,mf_61
13078,Benzene_and_substituted_derivatives,Benzenoids,not_available,mf_394
6139,Fatty_Acyls,Lipids_and_lipid-like_molecules,Fatty_alcohols,mf_428
3471,Carboxylic_acids_and_derivatives,Organoheterocyclic_compounds,Amino_acids-_peptides-_and_analogues,mf_160
4328,Organooxygen_compounds,Organic_oxygen_compounds,Carbonyl_compounds,mf_singleton
6759,Organooxygen_compounds,Organic_oxygen_compounds,Carbonyl_compounds,mf_singleton
15153,no_matches,no_matches,no_matches,mf_singleton
8627,Unsaturated_hydrocarbons,Benzenoids,not_available,mf_35
4517,Cinnamic_acids_and_derivatives,Phenylpropanoids_and_polyketides,Cinnamic_acids,mf_singleton
4377,Organooxygen_compounds,Organic_oxygen_compounds,not_available,mf_23
4103,Benzene_and_substituted_derivatives,Benzenoids,Carbonyl_compounds,mf_33
18353,Glycerophospholipids,Lipids_and_lipid-like_molecules,Glycerophosphocholines,mf_442
18268,Glycerophospholipids,Lipids_and_lipid-like_molecules,Glycerophosphoethanolamines,mf_2
11732,no_matches,no_matches,no_matches,mf_singleton
15752,Steroids_and_steroid_derivatives,Lipids_and_lipid-like_molecules,Stigmastanes_and_derivatives,mf_247
16164,Fatty_Acyls,Lipids_and_lipid-like_molecules,Lineolic_acids_and_derivatives,mf_20
16975,Fatty_Acyls,Lipids_and_lipid-like_molecules,Fatty_amides,mf_119
18496,Glycerophospholipids,Lipids_and_lipid-like_molecules,Glycerophosphoethanolamines,mf_2
18176,Fatty_Acyls,Lipids_and_lipid-like_molecules,Lineolic_acids_and_derivatives,mf_20
13757,Steroids_and_steroid_derivatives,Lipids_and_lipid-like_molecules,not_available,mf_192
12527,Glycerophospholipids,Lipids_and_lipid-like_molecules,not_available,mf_322
14508,Steroids_and_steroid_derivatives,Lipids_and_lipid-like_molecules,not_available,mf_192
937,Fatty_Acyls,Lipids_and_lipid-like_molecules,Fatty_acid_esters,mf_155
15329,Prenol_lipids,Lipids_and_lipid-like_molecules,Glycerophosphates,mf_5
17572,Glycerolipids,Lipids_and_lipid-like_molecules,Triradylcglycerols,mf_116
8244,no_matches,no_matches,no_matches,mf_singleton
15364,Fatty_Acyls,Lipids_and_lipid-like_molecules,Lineolic_acids_and_derivatives,mf_20
2775,Carboxylic_acids_and_derivatives,Organoheterocyclic_compounds,Amino_acids-_peptides-_and_analogues,mf_53
129,no_matches,no_matches,no_matches,mf_singleton
16958,no_matches,no_matches,no_matches,mf_singleton
11633,Carboxylic_acids_and_derivatives,Organic_acids_and_derivatives,Amino_acids-_peptides-_and_analogues,mf_329
9825,Prenol_lipids,Lipids_and_lipid-like_molecules,Sesquiterpenoids,mf_54
702,no_matches,no_matches,no_matches,mf_singleton
3279,Benzene_and_substituted_derivatives,Benzenoids,Amino_acids-_peptides-_and_analogues,mf_75
8666,Prenol_lipids,Lipids_and_lipid-like_molecules,Sesquiterpenoids,mf_562
12717,no_matches,no_matches,no_matches,mf_singleton
7883,no_matches,no_matches,no_matches,mf_singleton
10163,no_matches,no_matches,no_matches,mf_singleton
7047,Prenol_lipids,Lipids_and_lipid-like_molecules,not_available,mf_31
13553,no_matches,no_matches,no_matches,mf_singleton
18407,Glycerophospholipids,Lipids_and_lipid-like_molecules,Glycerophosphocholines,mf_442
16046,no_matches,no_matches,no_matches,mf_singleton
328,Carboxylic_acids_and_derivatives,Organoheterocyclic_compounds,not_available,mf_193
3139,Carboxylic_acids_and_derivatives,Organoheterocyclic_compounds,Amino_acids-_peptides-_and_analogues,mf_160
12745,Glycerophospholipids,Lipids_and_lipid-like_molecules,Glycerophosphocholines,mf_38
3663,Benzene_and_substituted_derivatives,Benzenoids,not_available,mf_202
1066,Benzene_and_substituted_derivatives,Benzenoids,Phenethylamines,mf_108
4245,Pyrans,Organoheterocyclic_compounds,Pyranones_and_derivatives,mf_268
10108,Glycerophospholipids,Lipids_and_lipid-like_molecules,Glycerophosphocholines,mf_38
13069,Prenol_lipids,Lipids_and_lipid-like_molecules,not_available,mf_31
17820,Glycerophospholipids,Lipids_and_lipid-like_molecules,Glycerophosphocholines,mf_34
15925,Fatty_Acyls,Lipids_and_lipid-like_molecules,Eicosanoids,mf_339
18121,Glycerophospholipids,Lipids_and_lipid-like_molecules,Glycerophosphoethanolamines,mf_17
5005,no_matches,no_matches,no_matches,mf_singleton
14946,Prenol_lipids,Lipids_and_lipid-like_molecules,not_available,mf_31
7421,Prenol_lipids,Lipids_and_lipid-like_molecules,Glycerophosphates,mf_5
13942,Steroids_and_steroid_derivatives,Lipids_and_lipid-like_molecules,Pregnot_availablee_steroids,mf_singleton
9070,Steroids_and_steroid_derivatives,Lipids_and_lipid-like_molecules,Cholestane_steroids,mf_29
695,no_matches,no_matches,no_matches,mf_singleton
10379,Fatty_Acyls,Lipids_and_lipid-like_molecules,Fatty_alcohols,mf_singleton
15669,Prenol_lipids,Lipids_and_lipid-like_molecules,Glycerophosphates,mf_5
9723,Steroids_and_steroid_derivatives,Lipids_and_lipid-like_molecules,Cholestane_steroids,mf_367
17527,Glycerolipids,Lipids_and_lipid-like_molecules,Triradylcglycerols,mf_116
16513,Prenol_lipids,Lipids_and_lipid-like_molecules,Diterpenoids,mf_singleton
18156,Sphingolipids,Lipids_and_lipid-like_molecules,Ceramides,mf_81
17589,Glycerolipids,Lipids_and_lipid-like_molecules,Triradylcglycerols,mf_116
15885,Prenol_lipids,Lipids_and_lipid-like_molecules,Triterpenoids,mf_67
8203,Organonitrogen_compounds,Organic_nitrogen_compounds,Amines,mf_115
13552,Glycerophospholipids,Lipids_and_lipid-like_molecules,Glycerophosphoethanolamines,mf_singleton
18096,Glycerophospholipids,Lipids_and_lipid-like_molecules,Glycerophosphocholines,mf_34
939,Carboxylic_acids_and_derivatives,Organic_acids_and_derivatives,Amino_acids-_peptides-_and_analogues,mf_154
18179,Prenol_lipids,Lipids_and_lipid-like_molecules,Glycerophosphocholines,mf_229
17934,Prenol_lipids,Lipids_and_lipid-like_molecules,not_available,mf_3
15884,Indoles_and_derivatives,Lipids_and_lipid-like_molecules,Carbonyl_compounds,mf_373
6380,Prenol_lipids,Lipids_and_lipid-like_molecules,Sesquiterpenoids,mf_194
11373,no_matches,no_matches,no_matches,mf_singleton
2709,Organooxygen_compounds,Organic_oxygen_compounds,Carbonyl_compounds,mf_353
10340,Dioxanes,Organoheterocyclic_compounds,1-2-dioxanes,mf_singleton
17833,no_matches,no_matches,no_matches,mf_singleton
11202,no_matches,no_matches,no_matches,mf_singleton
10202,Cinnamic_acids_and_derivatives,Phenylpropanoids_and_polyketides,Cinnamic_acid_esters,mf_singleton
16515,Fatty_Acyls,Lipids_and_lipid-like_molecules,Fatty_amides,mf_119
249,Organooxygen_compounds,Organic_oxygen_compounds,Ethers,mf_501
12984,no_matches,no_matches,no_matches,mf_singleton
4341,Prenol_lipids,Lipids_and_lipid-like_molecules,Sesquiterpenoids,mf_28
16691,Steroids_and_steroid_derivatives,Lipids_and_lipid-like_molecules,not_available,mf_192
14028,no_matches,no_matches,no_matches,mf_singleton
15345,Prenol_lipids,Lipids_and_lipid-like_molecules,not_available,mf_124
15077,Steroids_and_steroid_derivatives,Lipids_and_lipid-like_molecules,not_available,mf_192
8076,Tetralins,Benzenoids,not_available,mf_singleton
3779,Fatty_Acyls,Lipids_and_lipid-like_molecules,Fatty_alcohols,mf_singleton
4361,Tetralins,Benzenoids,not_available,mf_singleton
5986,Benzene_and_substituted_derivatives,Organoheterocyclic_compounds,Carbonyl_compounds,mf_237
14973,no_matches,no_matches,no_matches,mf_singleton
13220,Fatty_Acyls,Lipids_and_lipid-like_molecules,Fatty_acids_and_conjugates,mf_singleton
14174,Glycerolipids,Lipids_and_lipid-like_molecules,Diradylglycerols,mf_singleton
16055,Prenol_lipids,Lipids_and_lipid-like_molecules,Triterpenoids,mf_67
2146,Carboxylic_acids_and_derivatives,Organoheterocyclic_compounds,Amino_acids-_peptides-_and_analogues,mf_160
16949,no_matches,no_matches,no_matches,mf_singleton
5222,Organooxygen_compounds,Benzenoids,Carbonyl_compounds,mf_105
16275,no_matches,no_matches,no_matches,mf_singleton
11491,Prenol_lipids,Lipids_and_lipid-like_molecules,Triterpenoids,mf_67
9697,Prenol_lipids,Lipids_and_lipid-like_molecules,Sesquiterpenoids,mf_54
8595,Prenol_lipids,Lipids_and_lipid-like_molecules,Terpene_lactones,mf_singleton
12898,Prenol_lipids,Lipids_and_lipid-like_molecules,not_available,mf_3
6401,Benzene_and_substituted_derivatives,Benzenoids,Benzoyl_derivatives,mf_58
6308,no_matches,no_matches,no_matches,mf_singleton
9901,no_matches,no_matches,no_matches,mf_singleton
3985,Phenylpropanoic_acids,Phenylpropanoids_and_polyketides,not_available,mf_463
16280,Fatty_Acyls,Lipids_and_lipid-like_molecules,Fatty_amides,mf_singleton
2483,Carboxylic_acids_and_derivatives,Organic_acids_and_derivatives,Amino_acids-_peptides-_and_analogues,mf_37
9033,no_matches,no_matches,no_matches,mf_singleton
5597,Prenol_lipids,Lipids_and_lipid-like_molecules,Sesquiterpenoids,mf_54
7720,Fatty_Acyls,Phenylpropanoids_and_polyketides,not_available,mf_109
2690,no_matches,no_matches,no_matches,mf_singleton
6490,Azaphilones,Phenylpropanoids_and_polyketides,not_available,mf_30
7592,Prenol_lipids,Lipids_and_lipid-like_molecules,Sesquiterpenoids,mf_54
9555,no_matches,no_matches,no_matches,mf_singleton
4990,Pyrans,Benzenoids,not_available,mf_158
12053,no_matches,no_matches,no_matches,mf_singleton
16659,Prenol_lipids,Lipids_and_lipid-like_molecules,Triterpenoids,mf_singleton
16281,Glycerophospholipids,Lipids_and_lipid-like_molecules,Glycerophosphoethanolamines,mf_17
15038,Indoles_and_derivatives,Lipids_and_lipid-like_molecules,Carbonyl_compounds,mf_373
4100,Benzene_and_substituted_derivatives,Benzenoids,Benzoyl_derivatives,mf_58
16017,Fatty_Acyls,Lipids_and_lipid-like_molecules,Lineolic_acids_and_derivatives,mf_146
1325,Imidazopyrimidines,Organoheterocyclic_compounds,Purines_and_purine_derivatives,mf_475
15416,Fatty_Acyls,Lipids_and_lipid-like_molecules,Lineolic_acids_and_derivatives,mf_20
17472,Prenol_lipids,Lipids_and_lipid-like_molecules,Triterpenoids,mf_50
17515,Thiolanes,Organoheterocyclic_compounds,not_available,mf_134
5473,Benzene_and_substituted_derivatives,Benzenoids,Benzoic_acids_and_derivatives,mf_271
16236,no_matches,no_matches,no_matches,mf_singleton
18312,Prenol_lipids,Lipids_and_lipid-like_molecules,Glycerophosphocholines,mf_229
17446,Glycerophospholipids,Lipids_and_lipid-like_molecules,Glycerophosphoethanolamines,mf_2
16964,Sphingolipids,Lipids_and_lipid-like_molecules,Ceramides,mf_81
16135,no_matches,no_matches,no_matches,mf_singleton
564,Carboxylic_acids_and_derivatives,Organic_acids_and_derivatives,Amino_acids-_peptides-_and_analogues,mf_72
11589,Prenol_lipids,Lipids_and_lipid-like_molecules,Triterpenoids,mf_67
14698,Prenol_lipids,Lipids_and_lipid-like_molecules,Sesquiterpenoids,mf_54
6772,Carboxylic_acids_and_derivatives,Organic_acids_and_derivatives,Alpha-halocarboxylic_acids_and_derivatives,mf_307
518,no_matches,no_matches,no_matches,mf_singleton
18235,Glycerolipids,Lipids_and_lipid-like_molecules,Triradylcglycerols,mf_97
8407,Prenol_lipids,Lipids_and_lipid-like_molecules,not_available,mf_3
4451,Pyrans,Organoheterocyclic_compounds,Pyranones_and_derivatives,mf_268
7458,Carboxylic_acids_and_derivatives,Organoheterocyclic_compounds,Amino_acids-_peptides-_and_analogues,mf_8
11404,Acetylides,Carbides,not_available,mf_singleton
6827,Prenol_lipids,Lipids_and_lipid-like_molecules,Sesquiterpenoids,mf_singleton
8696,Macrolides_and_analogues,Phenylpropanoids_and_polyketides,not_available,mf_singleton
11521,Steroids_and_steroid_derivatives,Lipids_and_lipid-like_molecules,Stigmastanes_and_derivatives,mf_374
18422,no_matches,no_matches,no_matches,mf_singleton
5063,Indanes,Benzenoids,not_available,mf_singleton
14803,no_matches,no_matches,no_matches,mf_singleton
9159,Pyrrolopyridines,Lipids_and_lipid-like_molecules,not_available,mf_132
8821,Carboxylic_acids_and_derivatives,Organoheterocyclic_compounds,not_available,mf_193
14800,Prenol_lipids,Lipids_and_lipid-like_molecules,Triterpenoids,mf_67
9103,no_matches,no_matches,no_matches,mf_singleton
2008,Organooxygen_compounds,Organoheterocyclic_compounds,not_available,mf_4
7436,Prenol_lipids,Lipids_and_lipid-like_molecules,Sesquiterpenoids,mf_485
17161,Fatty_Acyls,Lipids_and_lipid-like_molecules,Lineolic_acids_and_derivatives,mf_20
13831,Steroids_and_steroid_derivatives,Lipids_and_lipid-like_molecules,not_available,mf_192
15856,Prenol_lipids,Lipids_and_lipid-like_molecules,Diterpenoids,mf_182
14179,Sphingolipids,Lipids_and_lipid-like_molecules,Ceramides,mf_81
10637,Prenol_lipids,Organoheterocyclic_compounds,not_available,mf_234
1005,Carboxylic_acids_and_derivatives,Organoheterocyclic_compounds,Amino_acids-_peptides-_and_analogues,mf_8
16138,Organonitrogen_compounds,Organic_nitrogen_compounds,Amines,mf_115
12003,no_matches,no_matches,no_matches,mf_singleton
13243,Prenol_lipids,Lipids_and_lipid-like_molecules,Sesquiterpenoids,mf_54
14159,no_matches,no_matches,no_matches,mf_singleton
15904,no_matches,no_matches,no_matches,mf_singleton
17248,Sphingolipids,Lipids_and_lipid-like_molecules,Glycosphingolipids,mf_141
8368,Fatty_Acyls,Lipids_and_lipid-like_molecules,Fatty_acyl_glycosides,mf_201
10315,Prenol_lipids,Lipids_and_lipid-like_molecules,Triterpenoids,mf_67
12545,Glycerophospholipids,Lipids_and_lipid-like_molecules,Glycerophosphoethanolamines,mf_2
18129,Steroids_and_steroid_derivatives,Lipids_and_lipid-like_molecules,Stigmastanes_and_derivatives,mf_369
7174,no_matches,no_matches,no_matches,mf_singleton
15082,Fatty_Acyls,Lipids_and_lipid-like_molecules,Lineolic_acids_and_derivatives,mf_146
5194,no_matches,no_matches,no_matches,mf_singleton
